,predction_0,predction_1,predction_2,predction_3,predction_4,predction_5,predction_6,predction_7,predction_8,predction_9
10,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)O.CC(=O)c1nc2cc(N)ccc2s1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Cl.CC(=O)c1nc2cc(N)ccc2s1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1
11,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2,CCOC(=O)C1=CCC2(CC1)OCCO2
12,Clc1ccccc1CBr.CCCCc1ncc(C(C)=O)[nH]1,C[Mg+].CCCCc1ncc(C(=O)N(C)OC)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl
13,O=C(OO)c1cccc(Cl)c1.CC1(c2cc3cccnc3[nH]2)CC1,OO.CC1(c2cc3cccnc3[nH]2)CC1,O=C(c1cccc(Cl)c1)[O:1001][OH:10],CC(C)(C)OC(=O)n1c(C2(C)CC2)cc2ccc[n+]([O-])c21,CC(C)(C)OC(=O)n1c(C2(C)CC2)cc2ccc[n+]([O-])c21,CC(C)(C)OC(=O)n1c(C2(C)CC2)cc2ccc[n+]([O-])c21,CC(C)(C)OC(=O)n1c(C2(C)CC2)cc2ccc[n+]([O-])c21,CC(C)(C)OC(=O)n1c(C2(C)CC2)cc2ccc[n+]([O-])c21,CC(C)(C)OC(=O)n1c(C2(C)CC2)cc2ccc[n+]([O-])c21,CC(C)(C)OC(=O)n1c(C2(C)CC2)cc2ccc[n+]([O-])c21
14,O=C(Cl)c1ccc(F)c([N+](=O)[O-])c1,O=C(O)c1ccc(F)c([N+](=O)[O-])c1,O=[N+]([O-])c1cc(CO)ccc1F,CS(=O)(=O)OC(=O)c1ccc(F)c([N+](=O)[O-])c1,O=[C+](=O)c1ccc(F)c([N+](=O)[O-])c1,O=C(F)c1ccc(F)c([N+](=O)[O-])c1,O=Cc1ccc(F)c([N+](=O)[O-])c1,O=C(Br)c1ccc(F)c([N+](=O)[O-])c1,O=C(I)c1ccc(F)c([N+](=O)[O-])c1,O=C(Cc1ccccc1)c1ccc(F)c([N+](=O)[O-])c1
15,Cn1nccc1-c1ccc(I)cc1.C#Cc1cccc(C)n1,Cc1cccc(I)n1.C#Cc1ccc(-c2ccnn2C)cc1,Cc1cccc(Br)n1.C#Cc1ccc(-c2ccnn2C)cc1,C#Cc1cccc(C)n1.Cn1nccc1-c1ccc(Br)cc1,Cn1nccc1B1OC(C)(C)C(C)(C)O1.Cc1cccc(C#Cc2ccc(Br)cc2)n1,Cn1nccc1B(O)O.Cc1cccc(C#Cc2ccc(Br)cc2)n1,Cn1nccc1Br.Cc1cccc(C#Cc2ccc(Br)cc2)n1,Cn1nccc1I.Cc1cccc(C#Cc2ccc(Br)cc2)n1,Cc1cccc(C#Cc2ccc(I)cc2)n1.Cn1nccc1Br,Cc1cccc(C#Cc2ccc(-c3ccn[nH]3)cc2)n1.CI
16,OB(O)c1c(F)cccc1C(F)(F)F.Nc1ccc(Br)cc1[N+](=O)[O-],OB(O)c1c(F)cccc1C(F)(F)F.Nc1ccc(Cl)cc1[N+](=O)[O-],Fc1cccc(C(F)(F)F)c1Br.CC1(C)COB(c2ccc(N)c([N+](=O)[O-])c2)OC1,OB(O)c1c(F)cccc1C(F)(F)F.Nc1ccc(I)cc1[N+](=O)[O-],CC1(C)OB(c2c(F)cccc2C(F)(F)F)OC1(C)C.Nc1ccc(Br)cc1[N+](=O)[O-],Nc1ccc(OS(=O)(=O)C(F)(F)F)cc1[N+](=O)[O-].OB(O)c1c(F)cccc1C(F)(F)F,Nc1ccc(B(O)O)cc1[N+](=O)[O-].Fc1cccc(C(F)(F)F)c1Br,Nc1ccc(Br)cc1[N+](=O)[O-].Fc1cccc(C(F)(F)F)c1Br,CC1(C)OB(c2ccc(N)c([N+](=O)[O-])c2)OC1(C)C.Fc1cccc(C(F)(F)F)c1Br,Nc1ccc(Cl)cc1[N+](=O)[O-].CC1(C)OB(c2c(F)cccc2C(F)(F)F)OC1(C)C
17,CCOC(=O)c1cn(C(CC)CO)c2ccc(Br)cc2c1=O.CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(B2OC(C)(C)C(C)(C)O2)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)COC(C)=O)cn1
18,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1,Nc1ncc(Br)cc1C(O)c1ccccc1
19,CC(C)(C)OC(=O)CCOCCc1cccc(Br)c1.COCCn1cc(B2OC(C)(C)C(C)(C)O2)cn1,CC(C)(C)OC(=O)CCOCCc1cccc(B2OC(C)(C)C(C)(C)O2)c1.COCCn1cc(Br)cn1,COCCn1cc(B2OC(C)(C)C(C)(C)O2)cn1.CC(C)(C)OC(=O)CCOCCc1cccc(I)c1,COCCBr.CC(C)(C)OC(=O)CCOCCc1cccc(-c2cn[nH]c2)c1,CC(C)(C)OC(=O)CCBr.COCCn1cc(-c2cccc(CCO)c2)cn1,CC(C)(C)OC(=O)CCO.COCCn1cc(-c2cccc(CCO)c2)cn1,CC(C)(C)OC(=O)CCOCCc1cccc(B2OC(C)(C)C(C)(C)O2)c1.COCCn1cc(I)cn1,CC(C)(C)OC(=O)CCOCCc1cccc(B(O)O)c1.COCCn1cc(Br)cn1,CC(C)(C)OC(=O)CCO.COCCn1cc(-c2cccc(CCBr)c2)cn1,CC(C)(C)OC(=O)CCO.COCCn1cc(-c2cccc(CCCl)c2)cn1
20,O=C(c1ccc(F)cc1)c1ccc(F)cc1.CCOC(=O)CC(=O)CC(O)C=CC(=O)c1nnnn1CC,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O,CCOC(=O)CC(=O)CC(C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnnn1CC)OC(C)=O
21,Cn1nccc1B1OC(C)(C)C(C)(C)O1.COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Br)cc1,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2B2OCC(C)(C)CO2)cc1.Cn1nccc1Br,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2I)cc1.Cn1nccc1B1OC(C)(C)C(C)(C)O1,Cn1nccc1I.COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2B2OC(C)(C)C(C)(C)O2)cc1,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Br)cc1.CCCC[Sn](CCCC)(CCCC)c1ccnn1C,Cn1nccc1Br.COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2B2OC(C)(C)C(C)(C)O2)cc1,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Cl)cc1.Cn1nccc1B1OC(C)(C)C(C)(C)O1,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2I)cc1.CCCC[Sn](CCCC)(CCCC)c1ccnn1C,Cn1nccc1I.COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2B2OCC(C)(C)CO2)cc1,Cn1nccc1I.COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2B(O)O)cc1
22,Nc1c(Br)cccc1[N+](=O)[O-].CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1,Nc1c(B(O)O)cccc1[N+](=O)[O-].CC(C)(C)OC(=O)N1CC=C(OS(=O)(=O)C(F)(F)F)CC1,CC1(C)OB(c2cccc([N+](=O)[O-])c2N)OC1(C)C.CC(C)(C)OC(=O)N1CC=C(OS(=O)(=O)C(F)(F)F)CC1,Nc1c(I)cccc1[N+](=O)[O-].CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1,CC(C)(C)OC(=O)N1CC=C(B(O)O)CC1.Nc1c(Br)cccc1[N+](=O)[O-],CC1(C)OB(c2cccc([N+](=O)[O-])c2N)OC1(C)C.CC(C)(C)OC(=O)N1CC=C(Br)CC1,Nc1c(Br)cccc1[N+](=O)[O-].CC(C)(C)OC(=O)N1CC=C(Br)CC1,Nc1c(B(O)O)cccc1[N+](=O)[O-].CC(C)(C)OC(=O)N1CC=C(Br)CC1,Nc1c(Br)cccc1[N+](=O)[O-].CC(C)(C)OC(=O)N1CC=C(I)CC1,Nc1c(Br)cccc1[N+](=O)[O-].CC(C)(C)OC(=O)N1CC=C([Sn](C)(C)C)CC1
23,Brc1ccccn1.OB(O)c1cccc(Br)c1,Brc1cccc(I)c1.CCCC[Sn](CCCC)(CCCC)c1ccccn1,OB(O)c1cccc(Br)c1.Ic1ccccn1,Brc1cccc(Br)c1.CCCC[Sn](CCCC)(CCCC)c1ccccn1,Clc1ccccn1.OB(O)c1cccc(Br)c1,[Zn+]c1ccccn1.Brc1cccc(I)c1,Brc1cccc(Br)c1.Brc1ccccn1,Brc1ccccn1.Brc1cccc(I)c1,Brc1cccc(Br)c1.C[Sn](C)(C)c1ccccn1,Brc1cccc(Br)c1.OB(O)c1ccccn1
24,FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1.COC(=O)c1ccc(B(O)O)cc1C,COC(=O)c1ccc(-c2nc[nH]n2)cc1C.OB(O)c1ccc(OC(F)(F)F)cc1,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1C.FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1,COC(=O)c1ccc(Br)cc1C.CCCC[Sn](CCCC)(CCCC)c1ncn(-c2ccc(OC(F)(F)F)cc2)n1,COC(=O)c1ccc(-c2nc[nH]n2)cc1C.FC(F)(F)Oc1ccc(Br)cc1,COC(=O)c1ccc(I)cc1C.CCCC[Sn](CCCC)(CCCC)c1ncn(-c2ccc(OC(F)(F)F)cc2)n1,FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1.CCCC[Sn](CCCC)(CCCC)c1ccc(C(=O)OC)c(C)c1,COC(=O)c1ccc(I)cc1C.FC(F)(F)Oc1ccc(-n2cnc([Zn+])n2)cc1,COC(=O)c1ccc(I)cc1C.OB(O)c1ncn(-c2ccc(OC(F)(F)F)cc2)n1,FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1.COC(=O)c1ccc(I)cc1C
25,OB(O)c1cccnc1F.FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2,FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2.CC1(C)OB(c2cccnc2F)OC1(C)C,FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2.CCCC[Sn](CCCC)(CCCC)c1cccnc1F,OB(O)c1cccnc1F.FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Cl)ccc1OCC2,FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(I)ccc1OCC2.OB(O)c1cccnc1F,FC(F)(F)CI.Fc1ncccc1-c1ccc2c(c1)-c1nc(-c3ncn[nH]3)cn1CCO2,FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2.CC1(C)COB(c2cccnc2F)OC1,CC1(C)OB(c2ccc3c(c2)-c2nc(-c4ncnn4CC(F)(F)F)cn2CCO3)OC1(C)C.Fc1ncccc1Br,Fc1ncccc1I.FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2,Fc1ncccc1Br.FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2
26,CC1(C)OB(c2ccc3c(c2)CC(=O)N3)OC1(C)C.Brc1nnc(-c2ccccc2)s1,O=C1Cc2cc(Br)ccc2N1.Brc1nnc(-c2ccccc2)s1,O=C1Cc2cc(Br)ccc2N1.CCCC[Sn](CCCC)(CCCC)c1nnc(-c2ccccc2)s1,OB(O)c1nnc(-c2ccccc2)s1.O=C1Cc2cc(Br)ccc2N1,O=C1Cc2cc(Br)ccc2N1.[Zn+]c1nnc(-c2ccccc2)s1,O=C1Cc2cc(-c3nnc(Br)s3)ccc2N1.OB(O)c1ccccc1,CC1(C)OB(c2nnc(-c3ccccc3)s2)OC1(C)C.O=C1Cc2cc(Br)ccc2N1,O=C1Cc2cc(B(O)O)ccc2N1.Brc1nnc(-c2ccccc2)s1,Clc1nnc(-c2ccccc2)s1.O=C1Cc2cc(Br)ccc2N1,Nc1ccc(-c2nnc(-c3ccccc3)s2)cc1CC(=O)O
