,predction_0,predction_1,predction_2,predction_3,predction_4,predction_5,predction_6,predction_7,predction_8,predction_9
10,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1,Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)Nc1ccc2sc(C(C)O)nc2c1
11,CCO.O=C(O)C1CCC2(CC1)OCCO2,O=C(Cl)C1CCC2(CC1)OCCO2.CCO,COC(=O)C1CCC2(CC1)OCCO2.CCO,CCO.O=C(O)C1CCC2(CC1)OCCO2,CCO.CON(C)C(=O)C1CCC2(CC1)OCCO2,CCO.CCOC(=O)C1CCC2(CC1)OCCO2,O=C(F)C1CCC2(CC1)OCCO2.CCO,O=[C+](=O)C1CCC2(CC1)OCCO2.CCO,CCO.O=C(OS(=O)(=O)C(F)(F)F)C1CCC2(CC1)OCCO2,CCO.O=C(Br)C1CCC2(CC1)OCCO2
12,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl,CCCCc1ncc(C(C)O)n1Cc1ccccc1Cl
13,O=C(OO)c1cccc(Cl)c1.CC1(c2cc3cccnc3[nH]2)CC1,CC1(c2cc3cccnc3[nH]2)CC1.OO,CC(=O)OO.CC1(c2cc3cccnc3[nH]2)CC1,,,,,,,
14,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F,O=[N+]([O-])c1cc(CO)ccc1F
15,Cc1cccc(I)n1.C#Cc1ccc(-c2ccnn2C)cc1,Cc1cccc(Br)n1.C#Cc1ccc(-c2ccnn2C)cc1,Cc1cccc(OS(=O)(=O)C(F)(F)F)n1.C#Cc1ccc(-c2ccnn2C)cc1,Cc1cccc(C#Cc2ccc(Br)cc2)n1.Cn1nccc1I,Cc1cccc(C#Cc2ccc(I)cc2)n1.Cn1nccc1I,Cc1cccc(C#Cc2ccc(Br)cc2)n1.Cn1nccc1Br,Cc1cccc(C#Cc2ccc(I)cc2)n1.CCCC[Sn](CCCC)(CCCC)c1ccnn1C,Cn1nccc1Br.Cc1cccc(C#Cc2ccc(I)cc2)n1,Cc1cccc(C#Cc2ccc(Br)cc2)n1.CCCC[Sn](CCCC)(CCCC)c1ccnn1C,Cc1cccc(C#Cc2ccc(Br)cc2)n1.Cn1nccc1B(O)O
16,OB(O)c1c(F)cccc1C(F)(F)F.Nc1ccc(Br)cc1[N+](=O)[O-],Fc1cccc(C(F)(F)F)c1Br.CC1(C)OB(c2ccc(N)c([N+](=O)[O-])c2)OC1(C)C,OB(O)c1c(F)cccc1C(F)(F)F.Nc1ccc(I)cc1[N+](=O)[O-],Fc1cccc(C(F)(F)F)c1Br.CC1(C)COB(c2ccc(N)c([N+](=O)[O-])c2)OC1,Fc1cccc(C(F)(F)F)c1Br.Nc1ccc(B(O)O)cc1[N+](=O)[O-],CC1(C)OB(c2c(F)cccc2C(F)(F)F)OC1(C)C.Nc1ccc(I)cc1[N+](=O)[O-],Fc1cccc(C(F)(F)F)c1I.CC1(C)OB(c2ccc(N)c([N+](=O)[O-])c2)OC1(C)C,Nc1ccc(OS(=O)(=O)C(F)(F)F)cc1[N+](=O)[O-].OB(O)c1c(F)cccc1C(F)(F)F,OB(O)c1c(F)cccc1C(F)(F)F.Nc1ccc(Cl)cc1[N+](=O)[O-],Nc1ccc(O)cc1[N+](=O)[O-].OB(O)c1c(F)cccc1C(F)(F)F
17,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(B2OC(C)(C)C(C)(C)O2)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(Br)cc2c1=O,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(Br)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1=O,CCOC(=O)c1cn(C(CC)CO)c2ccc(Br)cc2c1=O.CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(B(O)O)cn1,CCOC(=O)c1cn(C(CC)CO)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1=O.CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(I)cn1,CCOC(=O)c1cn(C(CC)CO)c2ccc(I)cc2c1=O.CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(B2OC(C)(C)C(C)(C)O2)cn1,CCOC(=O)c1cn(C(CC)CO)c2ccc(I)cc2c1=O.CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(B(O)O)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(Br)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(B(O)O)cc2c1=O,CCOC(=O)c1cn(C(CC)CO)c2ccc(B(O)O)cc2c1=O.CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(I)cn1,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(Br)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(Br)cc2c1=O,CCCC[Sn](CCCC)(CCCC)c1cnc(NC(=O)NCC)cc1-c1nc(C(F)(F)F)cs1.CCOC(=O)c1cn(C(CC)CO)c2ccc(Br)cc2c1=O
18,O=C(Cl)c1ccccc1.Nc1ncc(Br)cc1Br,Nc1ncc(Br)cc1I.O=C(Cl)c1ccccc1,O=C(Cl)c1ccccc1.Nc1ccc(Br)cn1,CON(C)C(=O)c1ccccc1.Nc1ncc(Br)cc1Br,O=C(Cl)c1ccccc1.CCCC[Sn](CCCC)(CCCC)c1cc(Br)cnc1N,Nc1ncc(Br)cc1Cl.O=C(Cl)c1ccccc1,C[Si](C)(C)c1cc(Br)cnc1N.O=C(Cl)c1ccccc1,Nc1ncc(Br)cc1B(O)O.O=C(Cl)c1ccccc1,CC1(C)OB(c2cc(Br)cnc2N)OC1(C)C.O=C(Cl)c1ccccc1,Nc1ncc(Br)cc1F.O=C(Cl)c1ccccc1
19,COCCn1cc(B2OC(C)(C)C(C)(C)O2)cn1.CC(C)(C)OC(=O)CCOCCc1cccc(Br)c1,COCCn1cc(B(O)O)cn1.CC(C)(C)OC(=O)CCOCCc1cccc(Br)c1,COCCn1cc(Br)cn1.CC(C)(C)OC(=O)CCOCCc1cccc(B2OC(C)(C)C(C)(C)O2)c1,COCCn1cc(I)cn1.CC(C)(C)OC(=O)CCOCCc1cccc(B2OC(C)(C)C(C)(C)O2)c1,COCCn1cc(Br)cn1.CC(C)(C)OC(=O)CCOCCc1cccc(B(O)O)c1,CC(C)(C)OC(=O)CCOCCc1cccc(Br)c1.COCCn1cc(Br)cn1,COCCn1cc(I)cn1.CC(C)(C)OC(=O)CCOCCc1cccc(B(O)O)c1,CC(C)(C)OC(=O)CCOCCc1cccc(I)c1.COCCn1cc(B2OC(C)(C)C(C)(C)O2)cn1,COCCn1cc(I)cn1.CC(C)(C)OC(=O)CCOCCc1cccc(Br)c1,CC(C)(C)OC(=O)CCOCCc1cccc([Sn](C)(C)C)c1.COCCn1cc(Br)cn1
20,O=C(c1ccc(F)cc1)c1ccc(F)cc1.CCOC(=O)CC(=O)CC(O)C=CCc1nnnn1CC,Fc1ccc(C(c2ccc(F)cc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.CCOC(=O)CC(=O)CC(O)C=CC(OC)c1nnnn1CC,Fc1ccc(C(c2ccc(F)cc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.CCOC(=O)CC(=O)CC(O)C=CC(OCC)c1nnnn1CC,CCOC(=O)CC(=O)CC(O)C=CC(=O)c1nnnn1CC.Fc1ccc(C(c2ccc(F)cc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Fc1ccc(C(c2ccc(F)cc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.CCOC(=O)CC(=O)CC(O)C=CC(I)c1nnnn1CC,CCOC(=O)CC(=O)CC(O)C=CC(B1OC(C)(C)C(C)(C)O1)c1nnnn1CC.O=C(c1ccc(F)cc1)c1ccc(F)cc1,CCOC(=O)CC(=O)CC(O)C=CC(Br)c1nnnn1CC.O=C(c1ccc(F)cc1)c1ccc(F)cc1,CCOC(=O)CC(=O)CC(O)C=CC(Br)c1nnnn1CC.CC1(C)OB(C(c2ccc(F)cc2)c2ccc(F)cc2)OC1(C)C,Fc1ccc(C(c2ccc(F)cc2)[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1.CCOC(=O)CC(=O)CC(O)C=CC(OC(C)(C)C)c1nnnn1CC,Fc1ccc(C(I)c2ccc(F)cc2)cc1.CCOC(=O)CC(=O)CC(O)C=CCc1nnnn1CC
21,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Br)cc1.Cn1nccc1B1OC(C)(C)C(C)(C)O1,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2I)cc1.Cn1nccc1B1OC(C)(C)C(C)(C)O1,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Br)cc1.CCCC[Sn](CCCC)(CCCC)c1ccnn1C,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2I)cc1.CCCC[Sn](CCCC)(CCCC)c1ccnn1C,Cn1nccc1B1OC(C)(C)C(C)(C)O1.COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2OS(=O)(=O)C(F)(F)F)cc1,Cn1nccc1Br.COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2B2OC(C)(C)C(C)(C)O2)cc1,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Br)cc1.Cn1nccc1B(O)O,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Cl)cc1.Cn1nccc1B1OC(C)(C)C(C)(C)O1,Cn1nccc1B1OC(C)(C)C(C)(C)O1.CCCC[Sn](CCCC)(CCCC)c1cc(C(F)(F)F)ccc1N1CCOc2cc(S(=O)(=O)N(Cc3ccc(OC)cc3)c3nccs3)ccc21,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Cl)cc1.CCCC[Sn](CCCC)(CCCC)c1ccnn1C
22,CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1.Nc1c(Br)cccc1[N+](=O)[O-],Nc1c(I)cccc1[N+](=O)[O-].CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1,CC(C)(C)OC(=O)N1CC=C(OS(=O)(=O)C(F)(F)F)CC1.Nc1c(B(O)O)cccc1[N+](=O)[O-],CC(C)(C)OC(=O)N1CC=C(OS(=O)(=O)C(F)(F)F)CC1.CC1(C)OB(c2cccc([N+](=O)[O-])c2N)OC1(C)C,CC(C)(C)OC(=O)N1CC=C([Sn](C)(C)C)CC1.Nc1c(Br)cccc1[N+](=O)[O-],Nc1c(I)cccc1[N+](=O)[O-].CCCC[Sn](CCCC)(CCCC)C1=CCN(C(=O)OC(C)(C)C)CC1,CCCC[Sn](CCCC)(CCCC)C1=CCN(C(=O)OC(C)(C)C)CC1.Nc1c(Br)cccc1[N+](=O)[O-],CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1.Nc1c(OS(=O)(=O)C(F)(F)F)cccc1[N+](=O)[O-],CC(C)(C)OC(=O)N1CC=C(B(O)O)CC1.Nc1c(Br)cccc1[N+](=O)[O-],CC(C)(C)OC(=O)N1CC=C(Br)CC1.Nc1c(B(O)O)cccc1[N+](=O)[O-]
23,OB(O)c1cccc(Br)c1.Brc1ccccn1,CCCC[Sn](CCCC)(CCCC)c1ccccn1.Brc1cccc(I)c1,OB(O)c1cccc(Br)c1.Ic1ccccn1,OB(O)c1cccc(Br)c1.O=S(=O)(Oc1ccccn1)C(F)(F)F,CCCC[Sn](CCCC)(CCCC)c1ccccn1.Brc1cccc(Br)c1,[Zn+]c1ccccn1.Brc1cccc(I)c1,Brc1cccc(Br)c1.Brc1ccccn1,OB(O)c1ccccn1.Brc1cccc(Br)c1,C[Sn](C)(C)c1ccccn1.Brc1cccc(Br)c1,OB(O)c1ccccn1.Brc1cccc(I)c1
24,FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1.COC(=O)c1ccc(B(O)O)cc1C,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1C.FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1,FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1.COC(=O)c1ccc(B2OCC(C)(C)CO2)cc1C,COC(=O)c1ccc(B(O)O)cc1C.FC(F)(F)Oc1ccc(-n2cnc(I)n2)cc1,CCCC[Sn](CCCC)(CCCC)c1ncn(-c2ccc(OC(F)(F)F)cc2)n1.COC(=O)c1ccc(Br)cc1C,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1C.FC(F)(F)Oc1ccc(-n2cnc(I)n2)cc1,COC(=O)c1ccc(I)cc1C.CCCC[Sn](CCCC)(CCCC)c1ncn(-c2ccc(OC(F)(F)F)cc2)n1,FC(F)(F)Oc1ccc(-n2cnc(Cl)n2)cc1.COC(=O)c1ccc(B(O)O)cc1C,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1C.FC(F)(F)Oc1ccc(-n2cnc(Cl)n2)cc1,FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1.COC(=O)c1ccc(Br)cc1C
25,OB(O)c1cccnc1F.FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2,CC1(C)OB(c2cccnc2F)OC1(C)C.FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2,CCCC[Sn](CCCC)(CCCC)c1ncnn1CC(F)(F)F.Fc1ncccc1-c1ccc2c(c1)-c1nc(Br)cn1CCO2,CC1(C)OB(c2ncnn2CC(F)(F)F)OC1(C)C.Fc1ncccc1-c1ccc2c(c1)-c1nc(Br)cn1CCO2,CCCC[Sn](CCCC)(CCCC)c1ncnn1CC(F)(F)F.Fc1ncccc1-c1ccc2c(c1)-c1nc(I)cn1CCO2,OB(O)c1ncnn1CC(F)(F)F.Fc1ncccc1-c1ccc2c(c1)-c1nc(Br)cn1CCO2,CC1(C)OB(c2ncnn2CC(F)(F)F)OC1(C)C.Fc1ncccc1-c1ccc2c(c1)-c1nc(I)cn1CCO2,CCCC[Sn](CCCC)(CCCC)c1ncnn1CC(F)(F)F.Fc1ncccc1-c1ccc2c(c1)-c1nc(Cl)cn1CCO2,Fc1ncccc1Br.CC1(C)OB(c2ccc3c(c2)-c2nc(-c4ncnn4CC(F)(F)F)cn2CCO3)OC1(C)C,C[Sn](C)(C)c1ncnn1CC(F)(F)F.Fc1ncccc1-c1ccc2c(c1)-c1nc(Br)cn1CCO2
